#length	nodes	edges	paths
400926970	2682067	3657000	922
##num_weakly_connected_components: 287
#component	nodes	is_acyclic
0	2679560	no
1	366	no
2	1	yes
3	1	yes
4	1	yes
5	1	yes
6	252	no
7	1	yes
8	1	yes
9	1	yes
10	1	yes
11	1	yes
12	1	yes
13	1	yes
14	161	no
15	1	yes
16	51	no
17	62	yes
18	34	no
19	1	yes
20	361	no
21	1	yes
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	1	yes
27	1	yes
28	1	yes
29	1	yes
30	136	no
31	1	yes
32	1	yes
33	16	yes
34	1	yes
35	1	yes
36	1	yes
37	1	yes
38	1	yes
39	32	no
40	1	yes
41	1	yes
42	1	yes
43	1	yes
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	1	yes
51	1	yes
52	1	yes
53	1	yes
54	1	yes
55	1	yes
56	1	yes
57	1	yes
58	1	yes
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	1	yes
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	16	no
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	1	yes
81	1	yes
82	1	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	1	yes
105	1	yes
106	1	yes
107	1	yes
108	126	no
109	175	yes
110	1	yes
111	1	yes
112	1	yes
113	1	yes
114	1	yes
115	81	no
116	1	yes
117	1	yes
118	1	yes
119	1	yes
120	1	yes
121	36	no
122	1	yes
123	1	yes
124	11	yes
125	1	yes
126	1	yes
127	1	yes
128	1	yes
129	1	yes
130	1	yes
131	1	yes
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	1	yes
139	1	yes
140	1	yes
141	1	yes
142	1	yes
143	1	yes
144	1	yes
145	1	yes
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	124	no
152	1	yes
153	1	yes
154	1	yes
155	5	yes
156	1	yes
157	1	yes
158	5	no
159	1	yes
160	1	yes
161	1	yes
162	1	yes
163	5	no
164	1	yes
165	1	yes
166	1	yes
167	1	yes
168	1	yes
169	1	yes
170	1	yes
171	1	yes
172	1	yes
173	1	yes
174	1	yes
175	1	yes
176	1	yes
177	1	yes
178	1	yes
179	1	yes
180	1	yes
181	1	yes
182	1	yes
183	1	yes
184	1	yes
185	1	yes
186	14	no
187	1	yes
188	1	yes
189	1	yes
190	5	no
191	1	yes
192	1	yes
193	1	yes
194	1	yes
195	17	no
196	1	yes
197	1	yes
198	1	yes
199	1	yes
200	1	yes
201	1	yes
202	1	yes
203	1	yes
204	1	yes
205	1	yes
206	1	yes
207	1	yes
208	1	yes
209	1	yes
210	1	yes
211	1	yes
212	1	yes
213	1	yes
214	1	yes
215	1	yes
216	1	yes
217	1	yes
218	1	yes
219	1	yes
220	106	no
221	1	yes
222	1	yes
223	1	yes
224	1	yes
225	32	no
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	1	yes
231	1	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	1	yes
237	1	yes
238	1	yes
239	1	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	1	yes
245	1	yes
246	1	yes
247	1	yes
248	1	yes
249	1	yes
250	1	yes
251	14	yes
252	1	yes
253	5	yes
254	1	yes
255	1	yes
256	1	yes
257	1	yes
258	1	yes
259	1	yes
260	1	yes
261	1	yes
262	1	yes
263	1	yes
264	1	yes
265	1	yes
266	1	yes
267	1	yes
268	1	yes
269	1	yes
270	1	yes
271	1	yes
272	1	yes
273	1	yes
274	1	yes
275	1	yes
276	1	yes
277	1	yes
278	1	yes
279	1	yes
280	1	yes
281	1	yes
282	1	yes
283	1	yes
284	1	yes
285	1	yes
286	1	yes
#type	num
total	6301
unique	6301
A	124892835
B	7
C	69064653
D	21
G	68967151
H	17
K	923
M	952
N	13308596
R	1939
S	638
T	124685935
V	9
W	1194
Y	2100
