#length	nodes	edges	paths
489086039	2754461	3802680	922
##num_weakly_connected_components: 402
#component	nodes	is_acyclic
0	2315825	no
1	433738	no
2	299	no
3	352	no
4	1	yes
5	1	yes
6	1	yes
7	1	yes
8	1	yes
9	47	yes
10	1	yes
11	1	yes
12	1	yes
13	1	yes
14	1	yes
15	1	yes
16	1	yes
17	1	yes
18	1	yes
19	1	yes
20	1	yes
21	1	yes
22	177	yes
23	22	yes
24	1	yes
25	233	no
26	1	yes
27	1	yes
28	1	yes
29	1	yes
30	154	no
31	1	yes
32	1	yes
33	1	yes
34	1	yes
35	1	yes
36	1	yes
37	1	yes
38	1	yes
39	117	no
40	1	yes
41	1	yes
42	1	yes
43	1	yes
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	1	yes
51	1	yes
52	1	yes
53	1	yes
54	1	yes
55	1	yes
56	1	yes
57	1	yes
58	1	yes
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	1	yes
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	34	no
77	1	yes
78	1	yes
79	1	yes
80	1	yes
81	1	yes
82	1	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	1	yes
105	1	yes
106	1	yes
107	1	yes
108	1	yes
109	1	yes
110	1	yes
111	1	yes
112	1	yes
113	1	yes
114	186	no
115	1	yes
116	255	yes
117	1	yes
118	1	yes
119	1	yes
120	1	yes
121	1	yes
122	1	yes
123	1	yes
124	1	yes
125	1	yes
126	1	yes
127	1	yes
128	1	yes
129	234	yes
130	1	yes
131	441	no
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	1	yes
139	1	yes
140	1	yes
141	1	yes
142	1	yes
143	1	yes
144	1	yes
145	1	yes
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	1	yes
157	1	yes
158	1	yes
159	1	yes
160	1	yes
161	1	yes
