#length	nodes	edges	paths
6548028077	54138399	74964324	17478
##num_weakly_connected_components: 662
#component	nodes	is_acyclic
0	41034080	no
1	2877699	no
2	2669862	no
3	2304967	no
4	1446224	no
5	1351672	no
6	2415383	no
7	335	yes
8	4485	no
9	145	yes
10	971	no
11	278	no
12	21	yes
13	1	yes
14	34	yes
15	1	yes
16	951	no
17	62	no
18	19	yes
19	1	yes
20	1	yes
21	165	yes
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	175	no
27	1	yes
28	1	yes
29	1	yes
30	52	yes
31	1	yes
32	1	yes
33	5	yes
34	1	yes
35	1	yes
36	2	yes
37	1	yes
38	1	yes
39	1	yes
40	113	no
41	1	yes
42	1	yes
43	102	no
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	136	no
51	1	yes
52	1	yes
53	1	yes
54	405	no
55	1	yes
56	1	yes
57	1	yes
58	16	no
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	9	no
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	453	yes
81	1	yes
82	6	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	35	yes
105	1	yes
106	568	no
107	349	yes
108	111	yes
109	645	no
110	1	yes
111	121	yes
112	1	yes
113	1	yes
114	1	yes
115	1	yes
116	1	yes
117	1	yes
118	1	yes
119	88	yes
120	685	no
121	1	yes
122	1	yes
123	114	no
124	1	yes
125	1	yes
126	61	no
127	1	yes
128	1	yes
129	1	yes
130	145	no
131	1	yes
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	524	no
139	1	yes
140	1	yes
141	3	yes
142	1	yes
143	135	yes
144	210	no
145	1	yes
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	1	yes
157	38	yes
158	103	yes
159	85	no
160	1	yes
161	34	yes
162	1	yes
163	1	yes
164	1	yes
165	1	yes
166	1	yes
167	37	no
168	1	yes
169	1	yes
170	1	yes
171	1	yes
172	1	yes
173	1	yes
174	1	yes
175	1	yes
176	1	yes
177	1	yes
178	1	yes
179	1	yes
180	4	yes
181	1	yes
182	1	yes
183	131	yes
184	1	yes
185	1	yes
186	1	yes
187	326	yes
188	1	yes
189	1	yes
190	170	no
191	1	yes
192	137	yes
193	1	yes
194	1	yes
195	1	yes
196	391	yes
197	1	yes
198	1	yes
199	1	yes
200	1	yes
201	1	yes
202	1	yes
203	1	yes
204	1	yes
205	43	no
206	77	no
207	1	yes
208	1	yes
209	164	yes
210	1	yes
211	184	yes
212	1	yes
213	1	yes
214	1	yes
215	1	yes
216	170	no
217	48	no
218	1	yes
219	1	yes
220	53	yes
221	1	yes
222	1	yes
223	1	yes
224	1	yes
225	1	yes
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	1	yes
231	1	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	1	yes
237	1	yes
238	1	yes
239	1	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	1	yes
245	1	yes
246	1	yes
247	1	yes
248	1	yes
249	1	yes
250	1	yes
251	9	no
252	67	no
253	1	yes
254	1	yes
255	1	yes
256	1	yes
257	1	yes
258	1	yes
259	1	yes
260	490	no
261	1	yes
262	181	yes
263	148	yes
264	1048	yes
265	1	yes
266	1	yes
267	20	yes
268	1	yes
269	1	yes
270	1	yes
271	1	yes
272	1	yes
273	1	yes
274	15	yes
275	1	yes
276	1	yes
277	1	yes
